pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
univ---univ	0	0	1	1	1	1	0	0	0	0	0	0	0
univ---work	0	2	1	6	5	3	1	1	0	0	0	0	0
work---atwork	3	3	4	3	4	2	1	0	0	0	0	0	0
work---eatout	14	19	21	29	34	23	12	9	2	1	0	0	0
work---escort	15	20	23	27	25	14	13	11	6	1	1	0	0
work---home	323	348	400	498	502	386	192	163	68	34	12	0	0
work---othdiscr	11	5	10	20	22	16	7	5	1	1	1	0	0
work---othmaint	14	16	22	28	24	22	14	5	4	2	1	0	0
work---shopping	38	33	29	43	40	20	19	12	4	5	2	0	0
work---social	2	8	7	11	7	5	6	3	2	1	0	0	0
work---univ	0	3	2	4	1	0	1	0	0	0	0	0	0
work---work	283	57	84	85	80	76	38	31	18	4	4	0	0

average leg duration: 1083.7014099589505 seconds = 00:18:03
