"DISTRICT","SD","county_id","TOTHH","TOTPOP","TOTACRE","RESACRE","CIACRE","TOTEMP","AGE0519","RETEMPN","FPSEMPN","HEREMPN","OTHEMPN","AGREMPN","MWTEMPN","PRKCST","OPRKCST","area_type","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","household_density","employment_density","density_index","is_cbd","zone_id"
1,1,10,5361,11317,179.35,26.902,80.708,13402,1899,2412,3350,2948,1610,402,2680,30,20,2,1338,677,290,1,5,49.818790075271814,124.54232877985318,35.58447074501907,false,28
39,4,10,16304,8804,537.78,134.445,161.334,19565,1477,3913,2935,4304,979,1956,5478,15,10,3,1041,989,424,1,3,55.12223653471004,66.14736002217872,30.06681417941961,false,29
7,1,10,16759,18051,830.04,207.51,249.012,20111,3029,4022,3017,4424,1006,2011,5631,15,10,3,2134,1016,436,1,3,36.71016949895076,44.05264149372867,20.023819332611847,false,30
7,1,10,1076,6058,519.15,181.702,93.447,861,1017,172,129,189,44,86,241,8,5,4,716,43,19,1,2,3.910608433975773,3.129213626071692,1.7382725150506662,false,31
45,5,10,6597,11999,424.54,106.135,127.362,7916,2013,1583,1187,1742,396,792,2216,15,10,3,1418,400,172,1,3,28.25303965361439,33.901934500229125,15.410394949218738,false,32
17,2,10,23822,38204,1322.27,330.568,396.681,28586,6411,5717,4288,6289,1429,2859,8004,15,10,3,4516,1445,619,1,3,32.75631867489677,39.307032391931784,17.866969272641562,false,33
3,1,10,6056,17763,4465.65,2232.825,357.252,3028,2981,606,454,666,151,303,848,0,0,5,2100,153,66,1,1,2.338154425524801,1.1690772127624005,0.779384808508267,false,34
5,1,10,57418,94550,4462.24,1115.56,1338.672,68902,15865,13780,10335,15158,3446,6890,19293,15,10,3,11176,3482,1492,1,3,23.395506211311726,28.074770437350665,12.761218880397408,false,35
3,1,10,7653,21773,7559.78,3779.89,604.782,3826,3654,765,574,842,191,383,1071,0,0,5,2574,193,83,1,1,1.7453985155560099,0.8725852241627197,0.5817488213709638,false,36
35,3,10,14497,36479,1551.15,387.788,465.345,17396,6121,3479,2609,3827,870,1740,4871,15,10,3,4312,879,377,1,3,16.99266116771945,20.390724541191116,9.268627400170809,false,37
