node_id,x_utm,y_utm,lon,lat,num_signals
2078129008,665509.728,1520177.255,100.5308001,13.7461476,2
2078129009,665262.449,1520192.8,100.5285145,13.7463023,2
2078129012,665059.697,1520206.23,100.5266405,13.7464353,3
2078129014,665267.294,1520220.08,100.5285609,13.7465486,2
2088218424,662437.106,1522334.347,100.5025128,13.7658204,2
2098972205,663149.799,1517439.564,100.5088202,13.721536,2
2106360898,664918.646,1519333.445,100.5252852,13.7385543,2
2106360908,665383.924,1519351.592,100.5295884,13.7386917,2
2110817774,666776.533,1520576.318,100.5425374,13.7496817,2
2110817775,666836.38,1520505.564,100.5430866,13.7490387,2
2110817778,666828.542,1520471.35,100.5430121,13.7487299,2
2118593024,664731.966,1519362.976,100.5235608,13.7388319,3
2122149482,664814.82,1520560.229,100.5243969,13.7496491,2
2122149483,664832.101,1520589.413,100.5245584,13.7499119,2
2124755239,663004.079,1522254.72,100.5077513,13.7650686,2
2124755246,662209.323,1522329.918,100.5004061,13.7657932,3
2128119516,662524.548,1522325.346,100.5033209,13.7657341,3
2128119519,662529.288,1522340.266,100.5033656,13.7658687,3
2128119520,662416.025,1522385.46,100.5023208,13.7662836,3
2129751341,662948.329,1517520.151,100.5069621,13.7222758,3
2129751342,662747.472,1517544.255,100.5051064,13.722505,3
2129751343,662572.473,1517563.775,100.5034895,13.7226913,3
2138886575,666067.839,1522474.345,100.5360962,13.7668787,2
2138886591,666099.082,1522458.735,100.5363842,13.7667358,3
2138886598,666073.363,1522589.748,100.5361541,13.7679215,2
2138886600,666026.765,1522391.706,100.5357115,13.7661341,2
2138886604,666155.531,1522392.505,100.5369023,13.7661339,3
2138886612,666131.314,1522345.818,100.5366756,13.7657133,2
2138886615,666151.367,1522336.742,100.5368605,13.7656301,2
2138999728,666556.212,1522143.122,100.5405928,13.7638566,2
2138999729,666529.712,1522165.875,100.5403491,13.7640638,2
2138999730,666545.622,1521682.068,100.5404676,13.7596898,3
2138999732,666435.786,1521730.586,100.5394548,13.7601347,3
2138999734,666365.015,1521761.609,100.5388022,13.7604192,3
2168933251,666998.826,1520384.211,100.5445815,13.7479324,2
