name,amenity,shop,latitude,longitude
Panasonic service centre,,electronics,13.711278,100.53103
,parking_entrance,,13.7512272,100.5675857
ถนนตะนาว,,,13.753511245913685,100.49845413388066
ถนนเยาวราช,,,13.738695413794648,100.51224733228383
ถนนตะนาว,,,13.755589999999998,100.49871395000001
ถนนตะนาว,,,13.756408764434394,100.4988184145231
ถนนเยาวราช,,,13.74003500591279,100.51045302745874
ถนนเยาวราช,,,13.741205171082294,100.50834277180583
ถนนเยาวราช,,,13.74061585,100.5094124
ถนนเยาวราช,,,13.739252193916426,100.5117157176579
