"person_id","household_id","primary_purpose","trip_num","outbound","trip_count","tour_id","purpose","destination_logsum","depart","trip_mode","mode_choice_logsum","trip_id","origin","destination"
25806,25806,"univ",2,false,4,1058077,"eatout",59.14426801496322,19,"WALK_LRF",14.719297504091474,8464622,7,9
25806,25806,"univ",3,false,4,1058077,"othmaint",50.09613237844369,19,"WALK",9.207333485198152,8464623,9,9
25806,25806,"univ",4,false,4,1058077,"home",,19,"WALK",11.718265450533048,8464624,9,6
25806,25806,"univ",1,true,1,1058078,"univ",,21,"WALK_LRF",11.713761348492149,8464625,6,9
25806,25806,"univ",1,false,1,1058078,"home",,21,"WALK_LRF",11.718265456933787,8464629,9,6
25834,25834,"othmaint",1,true,1,1059222,"othmaint",,11,"WALK",7.44336750308896,8473777,6,8
25834,25834,"othmaint",1,false,1,1059222,"home",,16,"WALK",7.625367497465565,8473781,8,6
25839,25839,"othmaint",1,true,1,1059427,"othmaint",,16,"WALK",2.7310353311762254,8475417,6,12
25839,25839,"othmaint",1,false,1,1059427,"home",,19,"WALK",2.801035145013193,8475421,12,6
25839,25839,"shopping",1,true,1,1059432,"shopping",,11,"WALK",0.15141197709790843,8475457,6,14
25839,25839,"shopping",1,false,1,1059432,"home",,12,"WALK",0.20721219038422375,8475461,14,6
25844,25844,"eatout",1,true,1,1059610,"eatout",,15,"WALK",4.5762546328249645,8476881,6,5
25844,25844,"eatout",1,false,1,1059610,"home",,16,"WALK",4.412974929134783,8476885,5,6
25872,25872,"othdiscr",1,true,1,1060777,"othdiscr",,12,"WALK",-0.735390773575791,8486217,7,1
25872,25872,"othdiscr",1,false,3,1060777,"shopping",31.642969027827988,18,"WALK_LOC",-0.9661283716024576,8486221,1,8
25872,25872,"othdiscr",2,false,3,1060777,"shopping",57.421095112638135,18,"WALK_LOC",12.474252994821473,8486222,8,7
25872,25872,"othdiscr",3,false,3,1060777,"home",,18,"WALK",13.915166197800355,8486223,7,7
25872,25872,"univ",1,true,1,1060783,"univ",,18,"WALK_LOC",4.4303646285214855,8486265,7,12
25872,25872,"univ",1,false,1,1060783,"home",,18,"WALK",4.495306657730048,8486269,12,7
25876,25876,"othdiscr",1,true,1,1060941,"othdiscr",,13,"WALK",3.704390369474563,8487529,7,21
